State_Name,District_Name,Crop_Year,Season,Crop,Water level(mm),Humidity,Temperature,Area,Type_ of _Soil ,Fertilizers,Cost_ of_ Production,Production
Telangana ,ADILABAD,2010,Rabi       ,Maize,650,73,26,6725,Clay soil,1,286,3313
Telangana ,ADILABAD,2010,Rabi       ,Moong(Green Gram),1500,73,26,2428,Sandy loam,1,167.9,95
Telangana ,ADILABAD,2010,Rabi       ,Onion,400,73,26,418,Sandy loam,1,409.1,67
Telangana ,ADILABAD,2010,Rabi       ,Other  Rabi pulses,850,73,26,63,Sandy  soil,1,239.3,14
Telangana ,ADILABAD,2010,Rabi       ,Rice,1700,73,26,27644,Clay Soil,1,213.3,28063
Telangana ,ADILABAD,2010,Rabi       ,Safflower,100,73,26,112,well drained soil,1,42.1,7
Telangana ,ADILABAD,2010,Rabi       ,Sesamum,600,73,26,3286,Sandy loam,1,137.9,12
Telangana ,ADILABAD,2010,Rabi       ,Urad,120,73,26,779,Sandy loam,1,58,16
Telangana ,ADILABAD,2010,Rabi       ,Wheat,500,73,26,4046,Clay loam,1,140.1,21
Telangana ,ADILABAD,2010,Whole Year ,Banana,1700,73,26,6,Sandy Soil,1,339.4,84
Telangana ,ADILABAD,2010,Whole Year ,Cashewnut,2000,73,26,29,Sandy Soil,1,183.1,1
Telangana ,ADILABAD,2010,Whole Year ,Coriander,400,73,26,300,well drained soil,1,261.3,5
Telangana ,ADILABAD,2010,Whole Year ,Garlic,100,73,26,25,Sandy loam,1,308.2,53
Telangana ,ADILABAD,2010,Whole Year ,Sugarcane,2000,73,26,8,Sandy loam,1,144.3,672
Telangana ,ADILABAD,2010,Whole Year ,Sunflower,400,73,26,1617,Sandy soil,1,85.6,104
Telangana ,ADILABAD,2010,Whole Year ,Tobacco,500,73,26,2,Sandy clay,1,140.9,28
Telangana ,ADILABAD,2010,Whole Year ,Turmeric,500,73,26,6245,Clay soil,1,200.2,127
Telangana ,ADILABAD,2011,Kharif     ,Arhar/Tur,1000,73,26,38832, clay loams,0,103.3,23260
Telangana ,ADILABAD,2011,Kharif     ,Castor seed,500,73,26,164,well drained soil,1,220.9,6
Telangana ,ADILABAD,2011,Kharif     ,Cotton(lint),1000,73,26,361169,Sandy Soil,1,310.8,30618
Telangana ,ADILABAD,2011,Kharif     ,Cowpea(Lobia),450,73,26,143,Sandy soil,1,178.4,6
Telangana ,ADILABAD,2011,Kharif     ,Dry chillies,500,73,26,3533,Sandy soil,1,160.9,845
Telangana ,ADILABAD,2011,Kharif     ,Jowar,700,73,26,17306,Clay soil,1,121.8,151
